iteration,num_templates,TSLA,NVDA,AAPL,AMZN,MSFT,GOOG,META
1,1,9.696992769343373,9.696935857440153,6.85893844881426,6.858897771120765,6.858822459259445,3.3565633200702267,9.819124444575262e-06
2,2,4.292302813636628,2.3702555041139735,1.6490406591175448,0.7945756599258466,1.9740372929012144,0.6532658785252622,0.05817046487417992
3,3,3.500037888942675,2.151379874980468,1.5242383136972733,1.0772384331033122,1.916276021578537,0.9561587032166738,0.04414254732462699
4,4,3.2741739516852624,2.0987424099088323,1.6255301015626828,1.2571298087369727,1.9269270075008587,1.0548671570487835,0.0350349044305518
5,5,4.385941755032675,1.818231382983758,1.8187071810044044,1.1974149897855446,1.8183194998605208,1.115179612329766,0.028396544895050748
6,6,4.7291331191111565,1.976147303919085,1.7598672954480925,1.239444314814814,1.8648221883181502,1.0991722626510023,0.023932552369674138
7,7,5.84157707994516,2.1201794973515686,1.9136644293935512,1.0825244551352622,2.01459710014614,0.9710087686000402,0.01992426920551938
8,8,6.000473063177197,2.2264962320802777,1.861199350089678,1.130105728063671,2.0353888843124355,0.9799846088776963,0.017840783508228132
9,9,5.810024500185385,2.3217788102668924,1.9035287257446685,1.17536234174012,2.060504514056308,0.9930921184004269,0.016192238070018836
10,10,5.666355654760674,2.4019335255730683,1.8718566535003873,1.2602175386455292,2.0823561860662156,1.005416428106468,0.014877024717037486
11,11,5.042549046078989,2.171788962576315,1.7347592373269356,1.1764056296421674,1.9097160102870503,0.9287216269701292,0.02522792878658792
12,12,4.8918402649065795,2.183568625937725,1.5297765341502352,1.103791434904267,1.8821493567511849,0.8892222303031854,0.033126951919489854
13,13,4.827669009055303,2.1667846409585603,1.5649009878018896,1.1269052112226416,1.8910300132556193,0.9238306783387291,0.031029995391544715
14,14,4.188969680204238,1.9657556619032763,1.4597533286239157,1.0559732858587063,1.693076758779578,0.8596431014294454,0.05412974879785425
15,15,4.300665828784899,2.0121984780602067,1.452257629676588,1.070554120066761,1.7080215570931392,0.8613790718348688,0.0505188584020318
16,16,4.134834570258895,1.9968827405899057,1.4432447281087837,1.1116165194214835,1.71520760683271,0.9088789525491413,0.048425218142879166
17,17,4.134448626994416,1.9108583360412372,1.4091181773983619,1.1030071622262787,1.6909350386285749,0.9136343700868067,0.052714344037071134
18,18,4.152204943791671,1.9149658369862321,1.3819192565315563,1.09649402704148,1.6733063601086604,0.8820427254376988,0.056234930801995285
19,19,4.240219416009766,1.9496374619560117,1.378387172219084,1.0858476114652067,1.714847444921732,0.8825023057945668,0.05340431709389717
20,20,4.212517747128476,1.9449465665140508,1.3758375791651596,1.1164404117263482,1.7221539795902086,0.9011321585774946,0.05120205575238531
21,21,4.17465893161836,1.9227941075990367,1.3154953032594348,1.0783033807319364,1.7402651097840776,0.8496208689866566,0.05939848453083541
22,22,4.053552969903674,1.8688923518519778,1.2441802470237981,1.0305779034409095,1.6475453114466123,0.8096714408274863,0.07717373930206108
23,23,4.108028253745839,1.8751042500074582,1.2351510267270533,1.0188860937240198,1.6617601590016162,0.7938974538507628,0.07819206988810122
24,24,4.058974412170995,1.8736926820535753,1.2534156764376616,1.024462783853269,1.668984941720895,0.8087620468844117,0.07586139708136451
25,25,4.117248157995569,1.8971809119614595,1.253194729366926,1.0318535097819241,1.6738496440630848,0.8103511036638735,0.07298908712912237
26,26,4.092775222182375,1.891555376188867,1.2536571538868209,1.0543304773681645,1.6772652871752813,0.8246719641051443,0.0706520086023408
27,27,4.157212087723104,1.9153097167034998,1.2383148154245855,1.0471902509429982,1.7495266769631639,0.8144452747089029,0.06797037568944157
28,28,4.2097464005012615,1.9360617492781649,1.2392585100119007,1.0539584267461053,1.7518912628739545,0.8161372077142018,0.0657005713182973
29,29,4.269782866547102,1.9591794309586459,1.2411071267236768,1.0601083978448533,1.7789086043792435,0.8071474797437608,0.06327817163497233
30,30,4.108330613799953,1.9506886039348166,1.2577858605876617,1.0815485655901709,1.777241633798666,0.8321436142182747,0.062022486063972176
31,31,4.0266860987754,1.9467757633120797,1.2591811255940248,1.0998657941991987,1.7794970898035354,0.8548782789018663,0.06054897955474115
32,32,3.9870067924551162,1.9473611194741995,1.2512332083280981,1.098548975672728,1.765862249591425,0.8509068251169456,0.06236056114496608
33,33,4.089863302135529,1.9441374233629742,1.2517202737324558,1.1029873101468415,1.7678946265010334,0.8512334135264741,0.06053149586312539
34,34,4.142137228846622,1.9630768972235295,1.2530708829760584,1.0965131337038418,1.8080376340675126,0.8427274029534204,0.05874273276270211
35,35,4.125859343121553,1.9511411871131814,1.2246538800129174,1.0653155784039128,1.8189983408334334,0.8247780424987949,0.06346522895426356
36,36,4.163425316757162,1.9462738464632408,1.2258099404714415,1.0708103261014787,1.8173891961740716,0.8347946113712978,0.06197007277071634
37,37,4.153311202026831,1.963355818284756,1.2397097016970715,1.0759282426589811,1.8201691458471343,0.836358556475382,0.06039471727519021
38,38,4.193909978333623,1.9786700438277551,1.240948778069629,1.0808263592828702,1.820984264387405,0.8374655065535535,0.05891482773912039
39,39,4.229488101997925,1.9747158700663063,1.242088241909966,1.0855882085573803,1.821213464110133,0.8466903409154821,0.057584360770482054
40,40,4.116255101251546,1.9702066818935433,1.2554313829354595,1.10141209733287,1.8213103677139313,0.8653103160609913,0.056583168912306116
41,41,4.111026180485795,1.985240751809104,1.2676526932291692,1.0963678724954204,1.8384789823316672,0.8662761747349425,0.05535603207893402
42,42,4.101192978843686,1.9817656884555743,1.2795082284263,1.1016323122828944,1.8388172003309957,0.8752027201523217,0.05423885646519192
43,43,4.026283126379656,1.9286984891247687,1.239818322916337,1.0632137567464384,1.7930729170924922,0.8573944474774017,0.06354393327293162
44,44,4.015801703369137,1.9255275979737805,1.240890128507919,1.0679076394889484,1.7932317998101226,0.8726930391001999,0.06236099359388991
45,45,3.9673701992177572,1.9227422287187195,1.2519979495511575,1.081459418202367,1.7936575232146164,0.8809757735161696,0.06127155108406409
46,46,3.9606135207248454,1.920680499953156,1.2625166389448668,1.0856758197565493,1.7944996759964427,0.8885331433088574,0.060148958940249644
47,47,3.8710612440344767,1.8972638321280741,1.2600178553747696,1.0877366791329177,1.7626903159314673,0.8814117448038274,0.06394210146159979
48,48,3.9023777718337103,1.8956043251435157,1.260365318324073,1.09125028355475,1.7637398003638787,0.888129966991705,0.0627467370752004
49,49,3.913089960570054,1.8846162645946982,1.2548222604053505,1.089742886176345,1.756176051237336,0.8843107251482332,0.06385251872171258
50,50,3.9760770837025445,1.8571010146123705,1.2990082142438903,1.0853223268889536,1.7329601341095173,0.8841966328018829,0.06269048271751457
